fixed acidity,volatile acidity,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol,quality,quality_binned,sulfur_balance
7.4,0.7,1.9,0.076,11.0,34.0,3.51,0.56,9.4,5,Medium,0.3235294117647059
7.8,0.88,2.6,0.098,25.0,67.0,3.2,0.68,9.8,5,Medium,0.373134328358209
7.8,0.76,2.3,0.092,15.0,54.0,3.26,0.65,9.8,5,Medium,0.2777777777777778
11.2,0.28,1.9,0.075,17.0,60.0,3.16,0.58,9.8,6,Medium,0.2833333333333333
7.4,0.66,1.8,0.075,13.0,40.0,3.51,0.56,9.4,5,Medium,0.325
7.9,0.6,1.6,0.069,15.0,59.0,3.3,0.46,9.4,5,Medium,0.2542372881355932
7.3,0.65,1.2,0.065,15.0,21.0,3.39,0.47,10.0,7,High,0.7142857142857143
7.8,0.58,2.0,0.073,9.0,18.0,3.36,0.57,9.5,7,High,0.5
7.5,0.5,6.1,0.071,17.0,102.0,3.35,0.8,10.5,5,Medium,0.16666666666666666
6.7,0.58,1.8,0.097,15.0,65.0,3.28,0.54,9.2,5,Medium,0.23076923076923078
5.6,0.615,1.6,0.089,16.0,59.0,3.58,0.52,9.9,5,Medium,0.2711864406779661
7.8,0.61,1.6,0.114,9.0,29.0,3.26,1.56,9.1,5,Medium,0.3103448275862069
8.9,0.62,3.8,0.176,52.0,145.0,3.16,0.88,9.2,5,Medium,0.3586206896551724
8.9,0.62,3.9,0.17,51.0,148.0,3.17,0.93,9.2,5,Medium,0.34459459459459457
8.5,0.28,1.8,0.092,35.0,103.0,3.3,0.75,10.5,7,High,0.33980582524271846
8.1,0.56,1.7,0.368,16.0,56.0,3.11,1.28,9.3,5,Medium,0.2857142857142857
7.4,0.59,4.4,0.086,6.0,29.0,3.38,0.5,9.0,4,Low,0.20689655172413793
7.9,0.32,1.8,0.341,17.0,56.0,3.04,1.08,9.2,6,Medium,0.30357142857142855
8.9,0.22,1.8,0.077,29.0,60.0,3.39,0.53,9.4,6,Medium,0.48333333333333334
7.6,0.39,2.3,0.082,23.0,71.0,3.52,0.65,9.7,5,Medium,0.323943661971831
7.9,0.43,1.6,0.106,10.0,37.0,3.17,0.91,9.5,5,Medium,0.2702702702702703
8.5,0.49,2.3,0.084,9.0,67.0,3.17,0.53,9.4,5,Medium,0.13432835820895522
6.9,0.4,2.4,0.085,21.0,40.0,3.43,0.63,9.7,6,Medium,0.525
6.3,0.39,1.4,0.08,11.0,23.0,3.34,0.56,9.3,5,Medium,0.4782608695652174
7.6,0.41,1.8,0.08,4.0,11.0,3.28,0.59,9.5,5,Medium,0.36363636363636365
7.1,0.71,1.9,0.08,14.0,35.0,3.47,0.55,9.4,5,Medium,0.4
7.8,0.645,2.0,0.082,8.0,16.0,3.38,0.59,9.8,6,Medium,0.5
6.7,0.675,2.4,0.089,17.0,82.0,3.35,0.54,10.1,5,Medium,0.2073170731707317
6.9,0.685,2.5,0.105,22.0,37.0,3.46,0.57,10.6,6,Medium,0.5945945945945946
8.3,0.655,2.3,0.083,15.0,113.0,3.17,0.66,9.8,5,Medium,0.13274336283185842
